4501.4395	124.56231	45.46629
3064.0215	128.95544	72.14854
2085.6709	130.50612	104.44491
1419.5442	155.01424	151.33224
965.93054	185.35851	205.93224
657.68512	232.11295	258.1351
447.56531	310.30026	314.52304
304.70715	387.84357	358.52518
207.45621	452.32159	409.84595
141.21979	499.78836	483.63559
96.13857	539.25354	624.20563
65.43979	582.05347	849.83502
44.52974	644.48431	1182.1274
30.32021	791.45233	1694.9391
20.64072	1094.6826	2405.4399
14.04285	1673.1499	3319.1816
9.56245	2771.4441	4307.2632
6.51041	4364.8237	5111.0474
4.42886	6353.7686	5281.3062
3.01408	8206.5205	4824.189
2.05214	9570.8789	3895.2012
1.39759	10400.958	2913.3826
0.95072	10856.956	2077.4846
0.64737	11065.465	1438.4141
0.44079	11197.273	1015.2707
0.29994	11226.754	687.89911
